created at,id,run id,run attempt,workflow name,name,head branch,conclusion,step,html url
""06.09.23, 13:22:28"",16545887816,6097625873,1,DevExtreme package tests,Demos visual tests jquery(3/4),no-excessive-onrendered-on-remount,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097625873/job/16545887816
""06.09.23, 13:33:33"",16546307284,6097625873,1,DevExtreme package tests,Send notifications,no-excessive-onrendered-on-remount,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6097625873/job/16546307284
""06.09.23, 13:09:39"",16545402979,6097419561,1,DevExtreme package tests,Demos visual tests jquery(3/4),cal_delete_values__23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097419561/job/16545402979
""06.09.23, 13:54:26"",16547073887,6097419561,2,DevExtreme package tests,Demos visual tests jquery(3/4),cal_delete_values__23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097419561/job/16547073887
""06.09.23, 14:11:42"",16547757382,6097419561,3,DevExtreme package tests,Demos visual tests jquery(3/4),cal_delete_values__23_2,cancelled,Run /./.github/actions/pin-browsers,https://github.com/DevExpress/DevExtreme/actions/runs/6097419561/job/16547757382
""06.09.23, 14:12:11"",16547776763,6097419561,3,DevExtreme package tests,Send notifications,cal_delete_values__23_2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6097419561/job/16547776763
""06.09.23, 12:59:17"",16545002434,6097324905,1,DevExtreme package tests,Demos visual tests jquery(3/4),23_2_validation_styling,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097324905/job/16545002434
""06.09.23, 12:49:59"",16544665706,6097223105,1,DevExtreme package tests,Demos visual tests jquery(1/4),cal_delete_values__23_2,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097223105/job/16544665706
""06.09.23, 12:49:59"",16544666085,6097223105,1,DevExtreme package tests,Demos visual tests jquery(2/4),cal_delete_values__23_2,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097223105/job/16544666085
""06.09.23, 12:50:00"",16544666445,6097223105,1,DevExtreme package tests,Demos visual tests jquery(3/4),cal_delete_values__23_2,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097223105/job/16544666445
""06.09.23, 12:50:00"",16544666643,6097223105,1,DevExtreme package tests,Demos visual tests jquery(4/4),cal_delete_values__23_2,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097223105/job/16544666643
""06.09.23, 13:00:11"",16545036496,6097223105,1,DevExtreme package tests,Send notifications,cal_delete_values__23_2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6097223105/job/16545036496
""06.09.23, 12:34:49"",16544154828,6097031104,1,DevExtreme package tests,Demos visual tests jquery(1/4),update_devextreme-generator_23-2,failure,Run /./.github/actions/pin-browsers,https://github.com/DevExpress/DevExtreme/actions/runs/6097031104/job/16544154828
""06.09.23, 12:34:49"",16544155001,6097031104,1,DevExtreme package tests,Demos visual tests jquery(2/4),update_devextreme-generator_23-2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097031104/job/16544155001
